check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
consequence,"Will Manchester United win the Premier League title by May 15, 2025?",0.25,"Will Manchester United win at least one match in the Premier League by September 1, 2025?",0.99,,,0.0
consequence,"Will Ethereum achieve a market capitalization exceeding $500 billion by December 31, 2026?",0.65,"Will Ethereum achieve a market capitalization exceeding $400 billion by December 31, 2026?",0.65,,,0.0
consequence,"Will Taylor Swift release a new studio album before July 1, 2025?",0.85,"Will Taylor Swift announce a new concert tour before July 1, 2025?",0.85,,,0.0
consequence,"Will the New York Yankees win the World Series by October 25, 2027?",0.15,Will the New York Yankees make the MLB playoffs in the 2027 season?,0.65,,,0.0
consequence,"Will Tesla announce the production of the Cybertruck by January 1, 2026?",0.85,"Will Tesla unveil the Cybertruck prototype to the public by January 1, 2026?",1.0,,,0.0
consequence,"Will Japan implement a nationwide 5G network rollout by June 30, 2025?",0.85,"Will Japan conduct 5G network trials in all major cities by June 30, 2025?",0.85,,,0.0
consequence,"Will the European Union adopt new environmental regulations limiting single-use plastics by March 31, 2026?",0.75,"Will the European Union propose new environmental regulations limiting single-use plastics by March 31, 2026?",0.75,,,0.0
consequence,"Will Amazon achieve carbon neutrality by December 31, 2025?",0.25,"Will Amazon reduce its carbon emissions by 50% by December 31, 2025?",0.65,,,0.0
consequence,Will India achieve a GDP growth rate of 8% or higher in 2027?,0.35,Will India achieve a GDP growth rate of 7% or higher in 2027?,0.45,,,0.0
consequence,"Will Microsoft release a quantum computing breakthrough by July 1, 2026?",0.35,"Will Microsoft invest in quantum computing research by July 1, 2026?",0.95,,,0.0
consequence,"Will the United Kingdom implement a universal basic income by January 1, 2030?",0.25,"Will the United Kingdom conduct a pilot program for universal basic income by January 1, 2030?",0.65,,,0.0
consequence,"Will Australia ban single-use plastic bags nationwide by June 30, 2025?",0.65,"Will Australia restrict the distribution of single-use plastic bags in major cities by June 30, 2025?",0.85,,,0.0
consequence,"Will Facebook rebrand to Meta Platforms Inc. before October 1, 2024?",1.0,"Will Facebook announce a major strategic shift towards the metaverse before October 1, 2024?",0.45,,,1.1033149246419292
consequence,"Will the United States implement a federal carbon tax by December 31, 2027?",0.35,"Will the United States Congress propose a carbon tax bill by December 31, 2027?",0.45,,,0.0
consequence,"Will Netflix exceed 300 million global subscribers by January 1, 2026?",0.45,"Will Netflix reach 250 million global subscribers by January 1, 2026?",0.75,,,0.0
consequence,"Will the World Health Organization declare COVID-19 eradicated by December 31, 2029?",0.01,"Will COVID-19 transmission rates fall below 0.1% globally by December 31, 2029?",0.35,,,0.0
