eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-02-55+00-00_adaptive-legal_FBXY2v68j3kTg7NyaQ4FR2.eval,,True,False,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250404_020330.csv
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-02-55+00-00_adaptive-legal_FBXY2v68j3kTg7NyaQ4FR2.eval,,True,False,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250404_020330.csv
openai/gpt-4o,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-02-55+00-00_adaptive-legal_FBXY2v68j3kTg7NyaQ4FR2.eval,,True,False,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250404_020330.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-03-31+00-00_adaptive-legal_iHfbax2eKq9EYRko9dngLs.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o/2025-04-04T02-04-37+00-00_re-evaluate-adaptive-legal_dGabT6esrnMgTK636g46BH.eval,True,False,True,10,0.8,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_020436.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-03-31+00-00_adaptive-legal_iHfbax2eKq9EYRko9dngLs.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-04T02-04-39+00-00_re-evaluate-adaptive-legal_o3hJ6KbPhudasmyVAR4ZyT.eval,True,False,True,10,0.8,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_020436.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-03-31+00-00_adaptive-legal_iHfbax2eKq9EYRko9dngLs.eval,,True,False,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_020436.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-04-42+00-00_adaptive-legal_n8jAuwHoG7szwwrETQQvEC.eval,,True,False,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_021126.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-04-42+00-00_adaptive-legal_n8jAuwHoG7szwwrETQQvEC.eval,,True,False,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_021126.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T02-04-42+00-00_adaptive-legal_n8jAuwHoG7szwwrETQQvEC.eval,,True,False,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_021126.csv
openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T02-02-29+00-00_legalbench-initial-aggregated_cKothb6WVmH2yuXg4kpUmg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_10/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_pos1_neg8/2025-04-04T02-11-26+00-00_adaptive-legal_6wFbVHeaDvn9KsJWigiHAT.eval,,True,False,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_20250404_021132.csv
