check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
and,Will Lionel Messi win the Ballon d'Or in 2025?,0.15,Will Paris Saint-Germain win the UEFA Champions League in 2025?,0.2,"Will both Lionel Messi win the Ballon d'Or in 2025 and Paris Saint-Germain win the UEFA Champions League in 2025? Body: Will both of the following occur: (a) Lionel Messi is awarded the Ballon d'Or for his performance in the 2024-2025 European football season, with the resolution date being December 30, 2025, and the resolution source being France Football; (b) Paris Saint-Germain secures the UEFA Champions League title in the 2024-2025 season, with the resolution date being June 30, 2025, and the resolution source being UEFA?",0.05,0.0
and,"Will Bitcoin surpass $100,000 by January 1, 2026?",0.35,"Will Ethereum transition to Proof-of-Stake by June 30, 2025?",1.0,"Will both Bitcoin surpass $100,000 by January 1, 2026, and Ethereum transition to Proof-of-Stake by June 30, 2025? Body: Will both of the following occur: (a) The price of Bitcoin will exceed $100,000 USD by January 1, 2026. Resolution Date: January 1, 2026. Resolution Source: Major cryptocurrency exchanges. (b) Ethereum will successfully complete its transition to a Proof-of-Stake consensus mechanism by June 30, 2025. Resolution Date: June 30, 2025. Resolution Source: Ethereum Foundation announcements.",0.6,0.36510223367262135
and,Will Taylor Swift release a surprise album in 2025?,0.35,Will Taylor Swift embark on a world tour in 2026?,0.75,"Will Taylor Swift both release a surprise album in 2025 and embark on a world tour in 2026? Body: Will both of the following occur: (a) Taylor Swift unexpectedly releases a new music album in the year 2025, as confirmed by official announcements from her verified channels by December 31, 2025, and (b) Taylor Swift launches a global concert tour covering at least 30 cities in the year 2026, as confirmed by official announcements from her verified channels by December 31, 2026?",0.35,0.0
and,"Will the Amazon Rainforest experience significant deforestation exceeding 100,000 hectares in 2025?",0.85,"Will Brazil implement new legislation to reduce deforestation in the Amazon by December 31, 2025?",0.65,"Will both significant deforestation exceeding 100,000 hectares occur in the Amazon Rainforest in 2025 AND Brazil implement new legislation to reduce deforestation by December 31, 2025? Body: Will both of the following occur: (a) The Amazon Rainforest undergoes deforestation exceeding 100,000 hectares in the year 2025, as reported by the Brazilian Institute of Geography and Statistics (IBGE). (b) The Brazilian government passes and enforces new laws aimed at reducing deforestation rates in the Amazon Rainforest by December 31, 2025, as confirmed by official Brazilian government publications. Resolution Date: December 31, 2025.",0.35,0.19627936085478795
and,Will the Chicago Bulls win over 60 games in the 2025 NBA season?,0.25,Will Zach LaVine score over 30 points per game average in the 2025 NBA season?,0.15,Will the Chicago Bulls win over 60 games and Zach LaVine average over 30 points per game in the 2025 NBA season?,0.05,0.0
and,Will Tesla release a fully autonomous vehicle by mid-2026?,0.25,Will the U.S. federal government approve regulations specifically for Level 5 autonomous vehicles by mid-2026?,0.35,"Will both Tesla release a fully autonomous vehicle and the U.S. federal government approve regulations for Level 5 autonomous vehicles by mid-2026? Body: Will both of the following occur by June 30, 2026: (a) Tesla, Inc. releases a fully autonomous vehicle with Level 5 self-driving capabilities, as confirmed by Tesla's official announcements, and (b) the United States federal government establishes and approves specific regulations for Level 5 autonomous vehicles, as confirmed by official U.S. government publications? Resolution Date: June 30, 2026. Resolution Sources: Tesla's official announcements and official U.S. government publications.",0.25,0.0
and,Will Canada legalize recreational use of psilocybin mushrooms by 2025?,0.25,Will there be a national referendum in Canada regarding the legalization of psilocybin by 2025?,0.15,Will Canada both legalize recreational use of psilocybin mushrooms and hold a national referendum on this issue by 2025?,0.05,0.0
and,Will the Global Renewable Energy Investment exceed $2 trillion in 2027?,0.65,Will China become the largest investor in renewable energy by 2027?,0.75,"Will both global renewable energy investment exceed $2 trillion and China become the largest investor in renewable energy by 2027? Body: Will both of the following occur by December 31, 2027: (a) Global investment in renewable energy sources surpasses $2 trillion during the calendar year 2027, and (b) China leads the world as the largest investor in renewable energy technologies? Resolution Criteria: Both conditions will be resolved based on reports from the International Energy Agency (IEA) by the resolution date of December 31, 2027.",0.65,0.0
and,Will the Marvel Cinematic Universe release five new movies in 2025?,0.35,Will at least two of the Marvel Cinematic Universe's 2025 releases gross over $1 billion each?,0.65,"Will the Marvel Cinematic Universe release five new movies in 2025, and will at least two of them gross over $1 billion each? Body: Will both of the following occur: (a) The Marvel Cinematic Universe officially releases five distinct live-action movies during the calendar year 2025. Resolution Date: December 31, 2025. Resolution Source: Marvel Studios official announcements. (b) At least two of these live-action movies released by the Marvel Cinematic Universe in 2025 each achieve box office revenues exceeding $1 billion USD. Resolution Date: December 31, 2025. Resolution Source: Box Office Mojo.",0.35,0.0
and,Will Elon Musk's SpaceX launch the first commercial mission to Mars by 2026?,0.25,Will NASA establish a permanent human outpost on the Moon by 2026?,0.15,Will both SpaceX launch the first commercial mission to Mars and NASA establish a permanent human outpost on the Moon by 2026?,0.05,0.0
and,Will the Tokyo 2025 Summer Universiade be held without any event cancellations?,0.85,Will there be no major geopolitical conflicts affecting international participation in the Tokyo 2025 Summer Universiade?,0.85,"Will the Tokyo 2025 Summer Universiade be held without any event cancellations and without major geopolitical conflicts affecting international participation? Body: Will both of the following occur: (a) All scheduled events of the Tokyo 2025 Summer Universiade take place as planned without any cancellations, and (b) The Tokyo 2025 Summer Universiade proceeds without any major geopolitical conflicts impacting the participation of international athletes by its conclusion? Resolution Date: August 2025. Resolution Source: International University Sports Federation (FISU) official updates.",0.75,0.0
and,Will Netflix release at least 20 original series in 2025?,0.85,Will at least three Netflix original series released in 2025 win the Emmy Award for Outstanding Drama Series?,0.05,"Will Netflix release at least 20 original series in 2025 AND have at least three of them win the Emmy Award for Outstanding Drama Series? Body: Will both of the following occur: (a) Netflix premieres 20 or more original television series during the calendar year 2025, as confirmed by Netflix official press releases by December 31, 2025, AND (b) three or more original drama series released by Netflix in 2025 win the Emmy Award for Outstanding Drama Series, as confirmed by the Television Academy announcements by September 15, 2025?",0.05,0.0
and,Will the European Union implement a universal digital tax by 2026?,0.55,Will digital service providers increase their subscription prices in the EU by 2026?,0.75,"Will both the European Union implement a universal digital tax and digital service providers increase their subscription prices in the EU by 2026? Body: Will both of the following occur by December 31, 2026: (a) The European Union introduces and enforces a universal digital tax applicable to all major digital service providers, as confirmed by European Commission official publications. (b) Major digital service providers raise their subscription fees within the European Union markets, as confirmed by official company financial reports. Resolution Date: December 31, 2026. Resolution Sources: European Commission official publications and official company financial reports.",0.45,0.0
