,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
438,iter3_h0_q1,3,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry, with a focus on renewable energy adoption",Renewable Energy and Tech,,P,Will Google reduce its greenhouse gas emissions by 20% by 2029 through the use of renewable energy sources?,"This question resolves as YES if Google reduces its greenhouse gas emissions by 20% by 2029 through the use of renewable energy sources, as reported by Google's official sustainability reports or other credible sources like the Environmental Protection Agency. Resolution criteria: Official reports from Google, Environmental Protection Agency, or other reputable environmental organizations. Resolution date: December 31, 2029.",0.7599999999999999,"[0.82, 0.72, 0.72, 0.72, 0.82]",1.023563236273272
440,iter3_h0_q1,3,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry, with a focus on renewable energy adoption",Renewable Energy and Tech,,P_and_Q,Will Google reduce its greenhouse gas emissions by 20% by 2029 and its revenue increase by 12% in 2030?,"This question resolves as YES if both conditions are met: Google reduces its greenhouse gas emissions by 20% by 2029 through the use of renewable energy sources, and Google's revenue increases by 12% in 2030 due to improved brand image, as reported by Google's official sustainability reports, Google's official earnings reports, or other credible sources like the Environmental Protection Agency or Bloomberg. Resolution criteria: Official reports from Google, Environmental Protection Agency, Bloomberg, or other reputable sources. Resolution date: December 31, 2030.",0.636,"[0.58, 0.68, 0.72, 0.62, 0.58]",1.023563236273272
439,iter3_h0_q1,3,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry, with a focus on renewable energy adoption",Renewable Energy and Tech,,Q_given_P,"Given the reduction in greenhouse gas emissions, will Google's revenue increase by 12% in 2030 due to improved brand image?","This question resolves as YES if, given the reduction in greenhouse gas emissions, Google's revenue increases by 12% in 2030 due to improved brand image, as reported by Google's official earnings reports or other credible sources like Bloomberg. Resolution criteria: Official reports from Google, Bloomberg, or other reputable financial news outlets. Resolution date: December 31, 2030.",0.11,"[0.08, 0.08, 0.08, 0.08, 0.23]",1.023563236273272
512,iter5_h2_q1,5,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry, with a focus on renewable energy adoption",Renewable Energy,,P_and_Q,Will Google reduce its greenhouse gas emissions by 20% by 2029 and its revenue increase by 12% in 2030?,"This question resolves as YES if both conditions are met: Google reduces its greenhouse gas emissions by 20% by 2029 through the use of renewable energy sources, and Google's revenue increases by 12% in 2030 due to improved brand image, as reported by Google's official sustainability reports, Google's official earnings reports, or other credible sources like the Environmental Protection Agency or Bloomberg. Resolution criteria: Official reports from Google, Environmental Protection Agency, Bloomberg, or other reputable sources. Resolution date: December 31, 2030.",0.5680000000000001,"[0.68, 0.32, 0.68, 0.58, 0.58]",0.9482398110231162
511,iter5_h2_q1,5,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry, with a focus on renewable energy adoption",Renewable Energy,,Q_given_P,"Given the reduction in greenhouse gas emissions, will Google's revenue increase by 12% in 2030 due to improved brand image?","This question resolves as YES if, given the reduction in greenhouse gas emissions, Google's revenue increases by 12% in 2030 due to improved brand image, as reported by Google's official earnings reports or other credible sources like Bloomberg. Resolution criteria: Official reports from Google, Bloomberg, or other reputable financial news outlets. Resolution date: December 31, 2030.",0.08,"[0.08, 0.08, 0.08, 0.08, 0.08]",0.9482398110231162
510,iter5_h2_q1,5,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry, with a focus on renewable energy adoption",Renewable Energy,,P,Will Google reduce its greenhouse gas emissions by 20% by 2029 through the use of renewable energy sources?,"This question resolves as YES if Google reduces its greenhouse gas emissions by 20% by 2029 through the use of renewable energy sources, as reported by Google's official sustainability reports or other credible sources like the Environmental Protection Agency. Resolution criteria: Official reports from Google, Environmental Protection Agency, or other reputable environmental organizations. Resolution date: December 31, 2029.",0.7399999999999999,"[0.82, 0.72, 0.72, 0.72, 0.72]",0.9482398110231162
340,iter12_h2_q1,12,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Environmental Impact and Technology,,Q_given_P,"Given the reduction in carbon footprint, will Apple's revenue increase by 10% in 2028 due to improved brand image?","This question resolves as YES if Apple's revenue increases by 10% in 2028 due to improved brand image, given the reduction in carbon footprint, as reported by Apple's official earnings reports or other credible sources like Bloomberg. Resolution criteria: Official reports from Apple, Bloomberg, or other reputable financial news outlets. Resolution date: December 31, 2028.",0.242,"[0.25, 0.25, 0.23, 0.23, 0.25]",0.7999168469968047
341,iter12_h2_q1,12,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Environmental Impact and Technology,,P_and_Q,Will Apple reduce its carbon footprint by 20% by 2027 and its revenue increase by 10% in 2028?,"This question resolves as YES if both Apple reduces its carbon footprint by 20% by 2027 through the use of renewable energy sources and its revenue increases by 10% in 2028 due to improved brand image, as reported by Apple's official sustainability reports, Apple's official earnings reports, or other credible sources like Greenpeace or Bloomberg. Resolution criteria: Official reports from Apple, Greenpeace, Bloomberg, or other reputable sources. Resolution date: December 31, 2028.",0.6599999999999999,"[0.62, 0.72, 0.72, 0.62, 0.62]",0.7999168469968047
339,iter12_h2_q1,12,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Environmental Impact and Technology,,P,Will Apple reduce its carbon footprint by 20% by 2027 through the use of renewable energy sources?,"This question resolves as YES if Apple reduces its carbon footprint by 20% by 2027 through the use of renewable energy sources, as reported by Apple's official sustainability reports or other credible sources like Greenpeace. Resolution criteria: Official reports from Apple, Greenpeace, or other reputable environmental organizations. Resolution date: December 31, 2027.",0.7799999999999999,"[0.82, 0.82, 0.82, 0.72, 0.72]",0.7999168469968047
360,iter1_h0_q0,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P,Will Apple reduce its carbon footprint by 25% by 2028 through the use of renewable energy sources?,"This question resolves as YES if Apple reduces its carbon footprint by 25% by 2028 through the use of renewable energy sources, as reported by Apple's official sustainability reports or other credible sources like Greenpeace. Resolution criteria: Official reports from Apple, Greenpeace, or other reputable environmental organizations. Resolution date: December 31, 2028.",0.74,"[0.72, 0.72, 0.72, 0.82, 0.72]",0.7393102242418671
