"index","question","result","failed_on"
"0","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: ","Pass",""
"1","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.4 Conditions to Obligations of Parent and Merger Sub to Effect the Merger. The obligations of Parent and Merger Sub to effect the Merger are, in addition to the conditions set forth in Section 8.3, further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or “Company Material Adverse Effect” or similar qualifications therein, shall be true and correct as of the Closing Date, except for failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case they shall be true and correct as of such specific date only); (Page 72)

Merger Agreement: Section 9.1 Conditions to Obligations of Parent and Merger Sub to Effect the Merger. The obligation of Parent and Merger Sub to consummate the Merger is subject to the satisfaction or, to the extent permitted by applicable Law, waiver, on or prior to the Closing, of the following conditions: (a) the representations and warranties of the Company set forth in Sections 4.5(a)(ii) and 4.3, excluding Section 4.3(e), shall be true and correct as of the date of this Agreement and as of the Closing as though made as of the Closing (except that representations and warranties that expressly speak specifically as of the date of this Agreement or another date shall be true and correct as of such date), except for de minimis inaccuracies, (b) the representations and warranties in Sections 4.1, 4.2, and 4.3(e) that are qualified as to materiality or Company Material Adverse Effect shall be true and correct in all respects, and those not qualified as to materiality shall be true and correct in all material respects, in each case as of the date of this Agreement and as of the Closing as though made as of the Closing (except that representations and warranties that expressly speak specifically as of the date of this Agreement or another date shall be so true and correct as of such date); (Page 38)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"2","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without regard to any materiality or ""Company Material Adverse Effect"" qualifications, shall be true and correct as of the Closing Date, except for such failures to be true and correct that would not have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 5.4 Conditions to Effectiveness of the Merger. <omitted> (b) Representations and Warranties. <omitted> (ii) each of the representations and warranties of the Company set forth in Article V shall be true and correct both when made and at and as of the Closing Date, as if made at and as of such date (except to the extent expressly made as of an earlier date, in which case, as of such date), except where the failure of such representations and warranties to be so true and correct has not had, and would not reasonably be expected to have, individually or in the aggregate, a Company Material Adverse Effect. (Page 88)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"3","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Parent and Merger Sub to Effect the Merger. The obligations of Parent and Merger Sub to effect the Merger are, in addition to the conditions set forth in Section 8.1, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 45)

Merger Agreement: SECTION 8.03. Conditions to Obligations of Parent and Sub. The obligations of Parent and Sub to effect the Merger are further subject to the following conditions: (i) each of the representations and warranties of the Company in this Agreement shall be true and correct in all material respects as of the date of this Agreement and as of the Closing Date as though made on the Closing Date, except to the extent any such representations and warranties expressly relate to an earlier date (in which case such representations and warranties shall be true and correct on and as of such earlier date), unless, for purposes of this clause (i), the failure of any such representations and warranties to be so true and correct has not resulted in, and would not reasonably be expected to result in, individually or in the aggregate, a Material Adverse Effect. (Page 52)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"4","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.4 Conditions to Obligations of Purchaser to Effect the Merger. The obligations of Purchaser to effect the Merger are, in addition to the conditions set forth in Section 8.3, further subject to the satisfaction or waiver by Purchaser at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Seller contained in this Agreement, without giving effect to any materiality or 'Seller Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Seller Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 72)

Merger Agreement: Section 10.1 Conditions to Obligations of Seller. The obligations of Seller to effect the Merger are subject to the satisfaction of the following conditions unless waived by Seller in writing: (a) Representations and Warranties. The representations and warranties of the Purchaser set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date as though made on and as of the Closing Date (except to the extent expressly made as of an earlier date, in which case as of such date), except where the failure of such representations and warranties to be so true and correct (without giving effect to any limitation as to materiality or Purchaser Material Adverse Effect) has not had, and would not reasonably be expected to have, individually or in the aggregate, a Purchaser Material Adverse Effect. (Page 85)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"5","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to the Obligations of the Acquiring Company. The obligations of the Acquiring Company to effect the Merger are subject to the satisfaction or waiver, at or prior to both the Signing Date and the Closing Date, of the following conditions: (a) Representations and Warranties. The representations and warranties of the Target Company set forth in this Agreement shall be true and correct in all material respects as of the Signing Date and as of the Closing Date, as though made on and as of each such date, except to the extent any such representation or warranty expressly relates to an earlier date (in which case as of such earlier date). The Acquiring Company shall receive a certificate signed by the Chief Executive Officer and the Chief Financial Officer of the Target Company certifying to the effect of the foregoing. (Page 45)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"6","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.4 Conditions to Obligations of Buyer and Merger Sub to Effect the Merger. The obligations of Buyer and Merger Sub to effect the Merger are, in addition to the conditions set forth in Section 8.3, further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Buyer at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Seller contained in this Agreement, without giving effect to any materiality or ""Material Adverse Effect"" or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 78)

Merger Agreement: Section 8.4 Conditions to Obligations of Seller. The obligation of Seller to consummate the Merger is also subject to the fulfillment or written waiver by Seller prior to the Effective Time of each of the following conditions: (a) Representations and Warranties. The representations and warranties of Buyer set forth in this Agreement shall be true and correct in all respects as of the date of this Agreement and as of the Closing Date as though made on and as of the Closing Date (except that representations and warranties that by their terms speak as of the date of this Agreement or some other date shall be true and correct as of such date) and Seller shall have received a certificate, dated the Closing Date, signed on behalf of Buyer, by the Chief Executive Officer of Buyer to such effect. (Page 82)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"7","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Buyer and Merger Sub to Effect the Merger. The obligations of Buyer and Merger Sub to effect the Merger are, in addition to the conditions set forth in Section 8.2, further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Buyer at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or ""Company Material Adverse Effect"" or similar qualifications therein, shall be true and correct as of the Signing Date and the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 8.3 Additional Conditions. The obligation of Buyer to effect the Merger is also subject to the satisfaction, or waiver by Buyer, at or prior to the Effective Time of the following conditions: (b) Representations and Warranties. The representations and warranties of the Company set forth in Article IV shall be true and correct as of the Effective Date and as of the Closing Date as though made as of the Closing, except for inaccuracies of representations and warranties the circumstances giving rise to which would not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect (it being understood that, for purposes of determining the accuracy of such representations and warranties, all materiality, ""Material Adverse Effect"" and similar qualifiers set forth in such representations and warranties shall be disregarded). (Page 80)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"8","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Parent and Acquisition Sub to Effect the Merger. The obligations of Parent and Acquisition Sub to effect the Merger are, in addition to the conditions set forth in Section 8.1, further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or ""Company Material Adverse Effect"" or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 72)
Answer: A

Merger Agreement: Section 10.01 Conditions to the Obligations of Parent, Bidco and each Merger Sub. The obligations of Parent, Bidco, and each Merger Sub to effect the Merger are subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (b) the representations and warranties of the Company contained in Article V shall be true and correct at and as of the date of this Agreement and at and as of the Closing as if made at and as of the Closing, except where the failure to be true and correct would not have a Material Adverse Effect. (Page 105)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
"9","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: ARTICLE 9 CONDITIONS PRECEDENT TO OBLIGATIONS OF PARENT AND MERGER SUB. The obligations of Parent and Merger Sub to consummate the transactions contemplated by this Agreement are subject to the satisfaction, at or prior to the Closing Date, of each of the following conditions: Section 9.1 Accuracy of Representations and Warranties. For purposes of this Section 9.1, the accuracy of the representations and warranties of the Company set forth in this Agreement shall be assessed as of the date of this Agreement and as of the Closing Date, except that representations and warranties that are expressly made as of a specific date need only be accurate as of such specific date. Additionally, any representation or warranty that is qualified by materiality or Material Adverse Effect shall be deemed accurate unless the failure to be accurate would result in a Material Adverse Effect. (Page 53)

Merger Agreement: ARTICLE 10 CONDITIONS TO THE OFFER. Notwithstanding any other provision of the Offer or this Agreement, Merger Sub shall not be required to accept for payment or pay for any Shares tendered pursuant to the Offer if the following conditions are not satisfied: Section 10.2 Representations and Warranties. Except as otherwise provided in this Agreement, the representations and warranties of the Company shall be true and correct as of the Offer Acceptance Time as though made at and as of the Offer Acceptance Time, except for such inaccuracies that do not result in a Material Adverse Effect. (Page 75)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Subsidiary to Effect the Merger. The obligations of Parent and Subsidiary to effect the Merger are, in addition to the conditions set forth in Section 8.0, further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement, without giving effect to any materiality or 'Company Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 75)

Merger Agreement: Section 9.4 Additional Conditions to Obligations of Parent and Subsidiary. Notwithstanding any other provision, the representations and warranties of the Company set forth in Article V shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing Date, as though made on and as of the Closing Date, except for those representations and warranties that speak as of a particular date, which shall be true and correct as of such date only, and except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 102)
Answer:
Choices: "
