timestamp,eval_model,generator_model,re_eval_model,initial_log_path,adaptive_log_path,re_eval_log_path,use_cot,similarity_threshold,score_threshold,use_embeddings,filter_incorrect,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer,judge_model,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,num_epochs
2025-04-17T00:59:31.551771,openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-17T00-48-15+00-00_adaptive-politeness_JoPNBqxgkVMrnzXRG5kUTo.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-17T00-59-15+00-00_re-evaluate-adaptive-politeness_DntoAqqKWZ4BZNzotbj5x9.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250417_005908.csv,200
2025-04-17T00:59:40.103988,openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-17T00-48-15+00-00_adaptive-politeness_JoPNBqxgkVMrnzXRG5kUTo.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-17T00-59-34+00-00_re-evaluate-adaptive-politeness_k5YUU3Dx3KSf9MYkP8NQiJ.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250417_005908.csv,200
2025-04-17T00:59:58.799897,openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-17T00-48-15+00-00_adaptive-politeness_JoPNBqxgkVMrnzXRG5kUTo.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-17T00-59-42+00-00_re-evaluate-adaptive-politeness_jmi4j9HFEEqYok4myRUSLZ.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250417_005908.csv,200
2025-04-17T01:00:44.922870,openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-17T00-48-15+00-00_adaptive-politeness_JoPNBqxgkVMrnzXRG5kUTo.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-17T01-00-01+00-00_re-evaluate-adaptive-politeness_JXqXJKSrr8uTLbnVK4Z86p.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250417_005908.csv,200
2025-04-17T01:00:51.403954,openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-17T00-48-15+00-00_adaptive-politeness_JoPNBqxgkVMrnzXRG5kUTo.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-17T01-00-47+00-00_re-evaluate-adaptive-politeness_Usss494Bdvign7UCcQA84e.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250417_005908.csv,200
2025-04-17T01:18:42.802718,openai/o3-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-17T01-07-00+00-00_adaptive-politeness_LfP7vByQAYmyb3GYVcmyEF.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-17T01-18-38+00-00_re-evaluate-adaptive-politeness_3vEGBdkSYTEAzRP52EQPMg.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_o3-mini_openai_gpt-4o_20250417_011832.csv,200
2025-04-17T01:18:48.388662,openai/o3-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-17T01-07-00+00-00_adaptive-politeness_LfP7vByQAYmyb3GYVcmyEF.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-17T01-18-44+00-00_re-evaluate-adaptive-politeness_CY93ZWJAFpafFoZ9oikhfh.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_o3-mini_openai_gpt-4o_20250417_011832.csv,200
2025-04-17T01:18:57.131286,openai/o3-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-17T01-07-00+00-00_adaptive-politeness_LfP7vByQAYmyb3GYVcmyEF.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-17T01-18-51+00-00_re-evaluate-adaptive-politeness_HX3vDEaUtecTyE75oyP97Y.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_o3-mini_openai_gpt-4o_20250417_011832.csv,200
2025-04-17T01:19:30.960327,openai/o3-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-17T01-07-00+00-00_adaptive-politeness_LfP7vByQAYmyb3GYVcmyEF.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-17T01-18-59+00-00_re-evaluate-adaptive-politeness_XbrcowNMnUGAHATchfmT8P.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_o3-mini_openai_gpt-4o_20250417_011832.csv,200
2025-04-17T01:19:36.463380,openai/o3-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-17T00-33-52+00-00_politeness-n-shot_bKAUU2tqVbqNVEDBtv8ma4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-17T01-07-00+00-00_adaptive-politeness_LfP7vByQAYmyb3GYVcmyEF.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_o3-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-17T01-19-32+00-00_re-evaluate-adaptive-politeness_PMJFM9CvLADCSNmDGqvr28.eval,False,0.6,4,False,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_random/novelty_politeness_openai_o3-mini_openai_gpt-4o_20250417_011832.csv,200
