check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
not,"Will any country enact laws completely banning artificial intelligence research by 2030?

Will any UN-recognized sovereign nation pass and enforce legislation that entirely prohibits all forms of artificial intelligence research and development within its jurisdiction by December 31, 2030, as confirmed by official government records and reported by major international news outlets?",0.05,"Will all countries continue to support artificial intelligence research by 2030?

Will every UN-recognized sovereign nation allow and support ongoing artificial intelligence research and development within its jurisdiction by December 31, 2030, as indicated by continued funding, policy support, and absence of prohibitive legislation, confirmed by government records and international reports?",0.75,,,,,0.4117191866702691
not,"Will any advanced extraterrestrial life be discovered by 2050?

Will humanity discover definitive evidence of advanced extraterrestrial life (e.g., intelligent signals, artifacts, or direct contact) by December 31, 2050, as confirmed by NASA, SETI, or other reputable space agencies and published in peer-reviewed journals?",0.15,"Will no evidence of extraterrestrial life be found by 2050?

Will humanity still have found no definitive evidence of any extraterrestrial life, microbial or advanced, by December 31, 2050, as acknowledged by the global scientific community and reported in scientific literature?",0.65,,,,,0.33511010700911786
andor,"Will a safe and effective cure for Alzheimer's disease be publicly available by 2040?

Will a cure that demonstrably halts and reverses Alzheimer's disease progression be approved by the FDA and made widely available to the public by December 31, 2040, as confirmed by FDA announcements and leading medical journals?",0.35,"Will the global prevalence of Alzheimer's disease remain steady or increase by 2040?

Will the number of people worldwide diagnosed with Alzheimer's disease remain at current levels or increase by December 31, 2040, according to data from the World Health Organization?",0.85,"Will both a cure for Alzheimer's be available and its global prevalence remain steady or increase by 2040?

Will both of the following occur by December 31, 2040: (a) A cure that demonstrably halts and reverses Alzheimer's disease progression is approved by the FDA and made widely available to the public, as confirmed by FDA announcements and leading medical journals, AND (b) The number of people worldwide diagnosed with Alzheimer's disease remains at current levels or increases, according to data from the World Health Organization?",0.15,"Will either a cure for Alzheimer's be available or its global prevalence remain steady or increase by 2040?

Will either of the following occur by December 31, 2040:  
(a) A cure that demonstrably halts and reverses Alzheimer's disease progression is approved by the FDA and made widely available to the public, as confirmed by FDA announcements and leading medical journals.  
(b) The number of people worldwide diagnosed with Alzheimer's disease remains at current levels or increases, according to data from the World Health Organization?  

Resolution Criteria:  
- For part (a), the resolution will be based on announcements from the FDA and leading medical journals confirming the approval and public availability of a cure for Alzheimer's disease.  
- For part (b), the resolution will be based on data from the World Health Organization regarding the global prevalence of Alzheimer's disease.",0.95,0.1372311615987697
andor,"Will a global pandemic with a fatality rate exceeding 5% occur before 2035?

Will the world experience a pandemic caused by a novel pathogen with a case fatality rate exceeding 5% globally before December 31, 2035, as declared by the WHO and documented in global health statistics?",0.15,"Will global life expectancy increase to 75 years or higher by 2035?

Will the global average life expectancy at birth reach 75 years or higher by December 31, 2035, according to data from the United Nations and the World Bank?",0.7,"Will both a global pandemic with a fatality rate exceeding 5% occur and global life expectancy increase to 75 years or higher by 2035?

Will both of the following occur by December 31, 2035: (a) The world experiences a pandemic caused by a novel pathogen with a case fatality rate exceeding 5% globally, as declared by the WHO and documented in global health statistics, and (b) The global average life expectancy at birth reaches 75 years or higher, according to data from the United Nations and the World Bank? Both conditions must be met for a ""Yes"" resolution.",0.05,"Will either a global pandemic with a fatality rate exceeding 5% occur or global life expectancy increase to 75 years or higher by 2035?

Will either of the following occur by December 31, 2035:  
(a) The world experiences a pandemic caused by a novel pathogen with a case fatality rate exceeding 5% globally, as declared by the WHO and documented in global health statistics.  
(b) The global average life expectancy at birth reaches 75 years or higher, according to data from the United Nations and the World Bank?  

Resolution Criteria:  
- For part (a), a ""Yes"" will be determined if the WHO declares a pandemic caused by a novel pathogen with a global case fatality rate exceeding 5%, as documented in global health statistics, before the end of 2035.  
- For part (b), a ""Yes"" will be determined if the global average life expectancy at birth is reported to be 75 years or higher by the United Nations and the World Bank by the end of 2035.",0.65,0.19150670125590086
andor,"Will fusion power contribute at least 10% of global energy production by 2050?

Will nuclear fusion technologies provide 10% or more of the world's total energy production by December 31, 2050, as documented by the International Energy Agency and confirmed by global energy statistics?",0.15,"Will global carbon emissions decrease by 50% from 2020 levels by 2050?

Will annual global carbon dioxide emissions be reduced by at least 50% compared to 2020 levels by December 31, 2050, according to reports from the IPCC and other environmental monitoring organizations?",0.35,"Will both fusion power contribute at least 10% of global energy production and global carbon emissions decrease by 50% from 2020 levels by 2050? Body: Will both of the following occur by December 31, 2050: (a) Nuclear fusion technologies provide 10% or more of the world's total energy production, as documented by the International Energy Agency and confirmed by global energy statistics. (b) Annual global carbon dioxide emissions are reduced by at least 50% compared to 2020 levels, according to reports from the IPCC and other environmental monitoring organizations?

Will both of the following occur by December 31, 2050: (a) Nuclear fusion technologies provide 10% or more of the world's total energy production, as documented by the International Energy Agency and confirmed by global energy statistics. (b) Annual global carbon dioxide emissions are reduced by at least 50% compared to 2020 levels, according to reports from the IPCC and other environmental monitoring organizations?",0.15,"Will either fusion power contribute at least 10% of global energy production or global carbon emissions decrease by 50% from 2020 levels by 2050? Body: Will either of the following occur by December 31, 2050: (a) Nuclear fusion technologies provide 10% or more of the world's total energy production, as documented by the International Energy Agency and confirmed by global energy statistics? (b) Annual global carbon dioxide emissions are reduced by at least 50% compared to 2020 levels, according to reports from the IPCC and other environmental monitoring organizations? Resolution criteria: (a) For the fusion power contribution, confirmation will be based on reports from the International Energy Agency and global energy statistics. (b) For the reduction in carbon emissions, confirmation will be based on reports from the IPCC and other environmental monitoring organizations.

Will either of the following occur by December 31, 2050: (a) Nuclear fusion technologies provide 10% or more of the world's total energy production, as documented by the International Energy Agency and confirmed by global energy statistics? (b) Annual global carbon dioxide emissions are reduced by at least 50% compared to 2020 levels, according to reports from the IPCC and other environmental monitoring organizations? Resolution criteria: (a) For the fusion power contribution, confirmation will be based on reports from the International Energy Agency and global energy statistics. (b) For the reduction in carbon emissions, confirmation will be based on reports from the IPCC and other environmental monitoring organizations.",0.65,0.3557840334824101
andor,"Will space mining of asteroids contribute significantly to Earth's rare metal supply by 2040?

Will materials mined from asteroids account for at least 25% of Earth's supply of rare metals (e.g., platinum, palladium) by December 31, 2040, as reported by international mining statistics?",0.05,"Will the price of rare metals remain high due to scarcity by 2040?

Will the prices of rare metals (e.g., platinum, palladium) remain at or exceed current levels, adjusting for inflation, due to continued scarcity by December 31, 2040, as reported by global market analyses?",0.65,"Will both space mining significantly contribute to Earth's rare metal supply and prices remain high due to scarcity by 2040? Body: Will both of the following occur by December 31, 2040: (a) Materials mined from asteroids account for at least 25% of Earth's supply of rare metals (e.g., platinum, palladium), as reported by international mining statistics, and (b) The prices of rare metals (e.g., platinum, palladium) remain at or exceed current levels, adjusting for inflation, due to continued scarcity, as reported by global market analyses? Resolution criteria: Both conditions must be met for a ""Yes"" answer. Condition (a) is met if international mining statistics report that asteroid mining contributes at least 25% to Earth's rare metal supply. Condition (b) is met if global market analyses report that rare metal prices remain at or exceed current levels, adjusted for inflation, due to scarcity.

Will both of the following occur by December 31, 2040: (a) Materials mined from asteroids account for at least 25% of Earth's supply of rare metals (e.g., platinum, palladium), as reported by international mining statistics, and (b) The prices of rare metals (e.g., platinum, palladium) remain at or exceed current levels, adjusting for inflation, due to continued scarcity, as reported by global market analyses? Resolution criteria: Both conditions must be met for a ""Yes"" answer. Condition (a) is met if international mining statistics report that asteroid mining contributes at least 25% to Earth's rare metal supply. Condition (b) is met if global market analyses report that rare metal prices remain at or exceed current levels, adjusted for inflation, due to scarcity.",0.1,"Will either space mining significantly contribute to Earth's rare metal supply or rare metal prices remain high due to scarcity by 2040?

Will either of the following occur by December 31, 2040: (a) Materials mined from asteroids account for at least 25% of Earth's supply of rare metals (e.g., platinum, palladium), as reported by international mining statistics, or (b) The prices of rare metals (e.g., platinum, palladium) remain at or exceed current levels, adjusting for inflation, due to continued scarcity, as reported by global market analyses? Resolution criteria: (a) will be resolved based on international mining statistics regarding the contribution of asteroid mining to Earth's rare metal supply, and (b) will be resolved based on global market analyses of rare metal prices and scarcity.",0.65,0.06490223351899374
andor,"Will quantum internet be operational globally by 2045?

Will a fully functional global quantum internet, enabling unhackable communication networks, be established and operational by December 31, 2045, as reported by international telecommunications bodies?",0.65,"Will cybercrime costs exceed $10 trillion annually by 2045?

Will the global annual costs associated with cybercrime surpass $10 trillion by December 31, 2045, as estimated by cybersecurity firms and reported in global economic analyses?",0.75,"Will both a global quantum internet be operational and cybercrime costs exceed $10 trillion annually by 2045? Body: Will both of the following occur by December 31, 2045: (a) A fully functional global quantum internet, enabling unhackable communication networks, is established and operational, as reported by international telecommunications bodies. (b) The global annual costs associated with cybercrime surpass $10 trillion, as estimated by cybersecurity firms and reported in global economic analyses?

Will both of the following occur by December 31, 2045: (a) A fully functional global quantum internet, enabling unhackable communication networks, is established and operational, as reported by international telecommunications bodies. (b) The global annual costs associated with cybercrime surpass $10 trillion, as estimated by cybersecurity firms and reported in global economic analyses?",0.35,"Will either a global quantum internet be operational or cybercrime costs exceed $10 trillion annually by 2045? Body: Will either of the following occur by December 31, 2045: (a) A fully functional global quantum internet, enabling unhackable communication networks, is established and operational, as reported by international telecommunications bodies. (b) The global annual costs associated with cybercrime surpass $10 trillion, as estimated by cybersecurity firms and reported in global economic analyses? Resolution criteria: (a) will be resolved based on reports from international telecommunications bodies confirming the establishment and operation of a global quantum internet. (b) will be resolved based on estimates from cybersecurity firms and reports in global economic analyses indicating that cybercrime costs have exceeded $10 trillion annually.

Will either of the following occur by December 31, 2045: (a) A fully functional global quantum internet, enabling unhackable communication networks, is established and operational, as reported by international telecommunications bodies. (b) The global annual costs associated with cybercrime surpass $10 trillion, as estimated by cybersecurity firms and reported in global economic analyses? Resolution criteria: (a) will be resolved based on reports from international telecommunications bodies confirming the establishment and operation of a global quantum internet. (b) will be resolved based on estimates from cybersecurity firms and reports in global economic analyses indicating that cybercrime costs have exceeded $10 trillion annually.",0.75,0.32909458989395873
but,"Will a functional quantum computer breach 4096-bit RSA encryption by 2035?

Will a quantum computer be demonstrated that can factor a 4096-bit RSA key within one week by December 31, 2035, as verified by peer-reviewed publications in leading scientific journals?",0.35,"Will both no functional quantum computer breach 4096-bit RSA encryption and digital security protocols remain unchanged from RSA encryption by 2035?

Will both of the following occur by December 31, 2035: (a) No quantum computer is demonstrated to factor a 4096-bit RSA key within one week, as verified by peer-reviewed publications in leading scientific journals, and (b) The majority (>50%) of online secure communications rely on RSA encryption protocols of 4096 bits or less, as reported by industry-leading cybersecurity agencies and confirmed in market analyses?",0.25,"Will either a functional quantum computer breach 4096-bit RSA encryption or digital security protocols remain unchanged from RSA encryption by 2035?

Will either of the following occur by December 31, 2035: 
(a) A quantum computer is demonstrated that can factor a 4096-bit RSA key within one week, as verified by peer-reviewed publications in leading scientific journals. 
(b) The majority (>50%) of online secure communications rely on RSA encryption protocols of 4096 bits or less, as reported by industry-leading cybersecurity agencies and confirmed in market analyses? 

Resolution Criteria: 
- For (a), the occurrence will be confirmed if a peer-reviewed publication in a leading scientific journal demonstrates a quantum computer factoring a 4096-bit RSA key within one week. 
- For (b), the occurrence will be confirmed if industry-leading cybersecurity agencies and market analyses report that more than 50% of online secure communications still rely on RSA encryption protocols of 4096 bits or less.",0.25,,,0.4505359047748589
but,"Will climate engineering techniques reduce global temperatures by 1°C by 2050?

Will deliberate large-scale interventions in the Earth's climate system (e.g., stratospheric aerosol injection) achieve a measurable reduction of at least 1°C in global average temperatures compared to 2020 levels by December 31, 2050, as verified by NASA and IPCC reports?",0.25,"Will both climate engineering techniques fail to reduce global temperatures by 1°C by 2050 AND global average temperatures increase by over 1.5°C above pre-industrial levels by 2050? Body: Will both of the following occur by December 31, 2050: (a) Deliberate large-scale interventions in the Earth's climate system (e.g., stratospheric aerosol injection) fail to achieve a measurable reduction of at least 1°C in global average temperatures compared to 2020 levels, as verified by NASA and IPCC reports? (b) Global average temperatures exceed 1.5°C above pre-industrial levels (as defined by the IPCC), according to official climate reports and peer-reviewed scientific studies? Both conditions must be met for a ""Yes"" resolution.

Will both of the following occur by December 31, 2050: (a) Deliberate large-scale interventions in the Earth's climate system (e.g., stratospheric aerosol injection) fail to achieve a measurable reduction of at least 1°C in global average temperatures compared to 2020 levels, as verified by NASA and IPCC reports? (b) Global average temperatures exceed 1.5°C above pre-industrial levels (as defined by the IPCC), according to official climate reports and peer-reviewed scientific studies? Both conditions must be met for a ""Yes"" resolution.",0.65,"Will either climate engineering reduce global temperatures by 1°C or will global temperatures increase by over 1.5°C above pre-industrial levels by 2050?

Will either of the following occur by December 31, 2050:  
(a) Deliberate large-scale interventions in the Earth's climate system (e.g., stratospheric aerosol injection) achieve a measurable reduction of at least 1°C in global average temperatures compared to 2020 levels, as verified by NASA and IPCC reports?  
(b) Global average temperatures exceed 1.5°C above pre-industrial levels (as defined by the IPCC), according to official climate reports and peer-reviewed scientific studies?  

Resolution Criteria:  
- For part (a), the resolution will be based on reports from NASA and the IPCC confirming a reduction of at least 1°C in global average temperatures compared to 2020 levels due to climate engineering techniques.  
- For part (b), the resolution will be based on official climate reports and peer-reviewed scientific studies confirming that global average temperatures have exceeded 1.5°C above pre-industrial levels.",0.85,,,0.06782194340594874
but,"Will seawater desalination become the primary source of freshwater globally by 2045?

Will over 50% of the global freshwater supply come from seawater desalination processes by December 31, 2045, as reported by the United Nations and global water resource agencies?",0.15,"Will both seawater desalination fail to become the primary source of freshwater globally and water scarcity affect over 2 billion people by 2045?

Will both of the following occur by December 31, 2045: (a) 50% or less of the global freshwater supply will come from seawater desalination processes, as reported by the United Nations and global water resource agencies, and (b) more than 2 billion people will live in regions with high water stress or scarcity, according to reports by the United Nations and the World Resources Institute? Resolution will be based on the respective reports from these organizations.",0.85,"Will either seawater desalination become the primary source of freshwater globally or will water scarcity affect over 2 billion people by 2045?

Will either of the following occur by December 31, 2045: (a) Over 50% of the global freshwater supply will come from seawater desalination processes, as reported by the United Nations and global water resource agencies, or (b) More than 2 billion people will live in regions with high water stress or scarcity, according to reports by the United Nations and the World Resources Institute? The resolution will be based on the respective reports from these organizations.",0.85,,,0.24221920529946867
