check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
cond,Will Serena Williams Win the 2025 Wimbledon Women's Singles Title?,0.01,"Given that Serena Williams Wins the 2025 Wimbledon Women's Singles Title, Will Novak Djokovic Win the Men's Singles Title? Body: Given that Serena Williams secures the Women's Singles title at Wimbledon in the 2025 tournament, this question asks if Novak Djokovic will win the Men's Singles title at the same tournament, with the outcome verified by the official Wimbledon Championships records on July 14, 2025.",0.25,"Will Serena Williams Win the 2025 Wimbledon Women's Singles Title and, Given This, Will Novak Djokovic Win the Men's Singles Title? Body: Will both of the following occur: (a) Serena Williams secures the Women's Singles title at Wimbledon in the 2025 tournament, with the outcome verified by the official Wimbledon Championships records on July 14, 2025, and (b) conditional on Serena Williams winning the Women's Singles title, Novak Djokovic wins the Men's Singles title at the same tournament, as confirmed by the official Wimbledon Championships records on July 14, 2025?",0.0001,0.05757713950463894
cond,"Will Bitcoin Reach $100,000 by December 31, 2025?",0.35,"Given that Bitcoin Reaches $100,000 by December 31, 2025, Will Ethereum Surpass $10,000 on the Same Date? Body: Given that Bitcoin attains a market price of $100,000 by December 31, 2025, as reported by major financial news outlets, this question asks if Ethereum's price will exceed $10,000 on the same date, as reported by major financial news outlets. This resolves as NO only if Bitcoin reaches $100,000 and Ethereum does not surpass $10,000 on that date; it resolves as YES in all other cases.",0.75,"Will Bitcoin Reach $100,000 by December 31, 2025, and Given This, Will Ethereum Surpass $10,000 on the Same Date?",0.35,0.14204891731452574
cond,Will Tokyo Host the 2025 World Athletics Championships?,0.35,"Given that Tokyo hosts the 2025 World Athletics Championships, will Paris host the 2027 World Athletics Championships? Body: Given that Tokyo is confirmed as the host city for the 2025 World Athletics Championships by the World Athletics governing body by August 2024, this question asks if Paris will be selected as the host city for the 2027 World Athletics Championships, with the decision announced by World Athletics by December 2025.",0.35,Will Tokyo Host the 2025 World Athletics Championships and Paris Host the 2027 World Athletics Championships Given Tokyo Hosts in 2025?,0.55,0.7750500474888137
cond,Will the US Implement a Federal Digital Currency by 2026?,0.35,"Given that the US Implements a Federal Digital Currency by 2026, Will the European Union Follow Suit by 2027? Body: Given that the United States government officially launches a federal digital currency by the end of 2026, as documented by the Federal Reserve's announcements on December 31, 2026, this question asks if the European Union will introduce a similar digital currency initiative by the end of 2027, as confirmed by the European Central Bank on December 31, 2027. This resolves as NO only if the US implements the currency and the EU does not; it resolves as YES in all other cases.",0.75,"Will the US Implement a Federal Digital Currency by 2026 and the EU Follow Suit by 2027 Given the US Implementation? Body: Will both of the following occur: (a) The United States government officially launches a federal digital currency by the end of 2026, as documented by the Federal Reserve's announcements on December 31, 2026. (b) Conditional on the United States government launching a federal digital currency by the end of 2026, the European Union introduces a similar digital currency initiative by the end of 2027, as confirmed by the European Central Bank on December 31, 2027?",0.35,0.14204891731452574
cond,Will Beyoncé Release a New Album by June 2025?,0.65,"Given that Beyoncé releases a new album by June 2025, will she also announce a world tour in the same year? Body: Given that Beyoncé releases a new studio album by June 30, 2025, as announced through her official channels and confirmed by major music distributors, this question asks if she will subsequently announce a world tour associated with the album within the same calendar year. The announcement of the world tour must be confirmed by her official announcements and music industry sources by December 31, 2025. This resolves as NO only if the album is released by June 30, 2025, and no world tour is announced by December 31, 2025; it resolves as YES in all other cases.",0.85,"Will Beyoncé Release a New Album by June 2025 and Announce a World Tour in the Same Year? Body: Will both of the following occur: (a) Beyoncé releases a new studio album by June 30, 2025, as announced through her official channels and confirmed by major music distributors on that date, and (b) conditional on the album release, she subsequently announces a world tour associated with the album within the same calendar year, as confirmed by her official announcements and music industry sources by December 31, 2025?",0.65,0.1458741743485756
cond,Will Canada Legalize Recreational Cannabis Nationwide by 2025?,1.0,"Given that Canada Legalizes Recreational Cannabis Nationwide by 2025, Will Mexico Also Legalize by 2026?",0.65,"Will Canada Legalize Recreational Cannabis Nationwide by 2025 and, Given This, Will Mexico Also Legalize by 2026?",0.65,0.0
cond,Will Tesla Launch a Fully Autonomous Vehicle Model by 2027?,0.35,"Given that Tesla Launches a Fully Autonomous Vehicle Model by 2027, Will General Motors Follow with a Similar Model by 2028? Body: Given that Tesla releases a fully autonomous vehicle model to the public by December 31, 2027, as announced by Tesla's official communications and verified by major automotive news outlets on that date, this question asks if General Motors will introduce a comparable autonomous vehicle model by December 31, 2028, as confirmed by their official announcements and automotive industry reports on that date. This resolves as NO only if Tesla launches the vehicle by 2027 and General Motors does not follow with a similar model by 2028; it resolves as YES in all other cases.",0.85,"Will Tesla Launch a Fully Autonomous Vehicle by 2027 and, If So, Will General Motors Follow with a Similar Model by 2028?",0.35,0.08214287852532517
cond,"Will the FIFA World Cup 2026 Be Held in the United States, Canada, and Mexico?",0.99,"Given that the FIFA World Cup 2026 is held in the United States, Canada, and Mexico, will Portugal win the tournament? Body: Given that the 2026 FIFA World Cup is co-hosted by the United States, Canada, and Mexico, as officially confirmed by FIFA's announcement on June 13, 2020, this question asks if Portugal will emerge as the tournament champion, as determined by FIFA on July 19, 2026.",0.08,"Will the FIFA World Cup 2026 Be Co-Hosted by the United States, Canada, and Mexico, and Will Portugal Win the Tournament?",0.05,0.08404880038726051
cond,Will Australia Achieve Net-Zero Carbon Emissions by 2030?,0.15,"Given that Australia Achieves Net-Zero Carbon Emissions by 2030, Will New Zealand Achieve the Same by 2031?",0.75,"Will Australia Achieve Net-Zero Carbon Emissions by 2030 and New Zealand by 2031 Given Australia's Achievement? Body: Will both of the following occur: (a) Australia attains net-zero carbon emissions by the end of 2030, as verified by the Australian government's official environmental reports published on December 31, 2030, and (b) conditional on Australia attaining net-zero carbon emissions by December 31, 2030, New Zealand also achieves net-zero emissions by December 31, 2031, as confirmed by New Zealand's official environmental reports on that date?",0.15,0.08293750893450123
cond,Will SpaceX Successfully Launch a Manned Mission to Mars by 2035?,0.35,"Given that SpaceX Successfully Launches a Manned Mission to Mars by 2035, will NASA Also Launch a Manned Mission by 2036? Body: Given that SpaceX conducts and successfully completes a manned mission to Mars by December 31, 2035, as announced by SpaceX's official communications and verified by NASA's mission reports on that date, this question asks if NASA will undertake a similar manned mission by December 31, 2036, as confirmed by NASA's official program announcements on that date.",0.35,"Will SpaceX Successfully Launch a Manned Mission to Mars by 2035 and, Given This, Will NASA Also Launch a Manned Mission by 2036?",0.15,0.06406837042790248
cond,Will Nigeria Discover a New Species of Gorilla by 2025?,0.05,"Given that Nigeria discovers a new species of gorilla by 2025, will Cameroon also discover a new primate species by 2026? Body: Given that researchers in Nigeria identify and officially describe a new species of gorilla by December 31, 2025, as published in scientific journals such as Nature or Science, this question asks if Cameroon researchers will identify and officially describe a new primate species by December 31, 2026, as published in reputable scientific journals on that date.",0.35,"Will Nigeria Discover a New Species of Gorilla by 2025 and, Given This Discovery, Will Cameroon Also Discover a New Primate Species by 2026? Body: Will both of the following occur: (a) Researchers in Nigeria identify and officially describe a new species of gorilla by December 31, 2025, as published in scientific journals such as Nature or Science on that date, and (b) Conditional on Nigerian researchers discovering a new species of gorilla by December 31, 2025, Cameroon researchers identify and officially describe a new primate species by December 31, 2026, as published in reputable scientific journals on that date? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If Nigeria does not discover a new species of gorilla by the specified date, the second condition is not applicable, and the answer is ""No.""",0.02,0.015218038588185897
cond,Will the United Kingdom Implement a 25-Year Environmental Plan by 2024?,0.65,"Given that the United Kingdom Implements a 25-Year Environmental Plan by 2024, Will Germany Also Implement a Similar Plan by 2025?",0.55,"Will the UK Implement a 25-Year Environmental Plan by 2024 and, If So, Will Germany Implement a Similar Plan by 2025? Body: Will both of the following occur given their respective conditions are met? (a) The United Kingdom government introduces and enacts a comprehensive 25-year environmental sustainability plan by December 31, 2024, as announced in official government publications on that date. (b) Conditional on the United Kingdom government enacting such a plan by December 31, 2024, Germany introduces and implements a comparable environmental plan by December 31, 2025, as confirmed through official government publications on that date.",0.35,0.011830661110688149
cond,Will Elon Musk Become the CEO of Amazon by 2026?,0.01,"Given that Elon Musk Becomes the CEO of Amazon by 2026, will Jeff Bezos Return to His Former Role by 2027? Body: Given that Elon Musk assumes the role of Chief Executive Officer at Amazon by December 31, 2026, as officially announced through Amazon's corporate communications, this question asks if Jeff Bezos will relinquish any involvement with Amazon and return to his former roles by December 31, 2027, as confirmed by official corporate statements on that date. This resolves as NO only if Elon Musk becomes CEO by the specified date and Jeff Bezos does not return to his former role by the end of 2027; it resolves as YES in all other cases.",0.99,"Will Elon Musk Become the CEO of Amazon by 2026 and, Given This, Will Jeff Bezos Return to His Former Role by 2027? Body: Will both of the following occur: (a) Elon Musk assumes the role of Chief Executive Officer at Amazon by December 31, 2026, as officially announced through Amazon's corporate communications on that date, and (b) conditional on Elon Musk taking on the role of CEO at Amazon by December 31, 2026, Jeff Bezos relinquishes any involvement with Amazon and returns to his former roles by December 31, 2027, as confirmed by official corporate statements on that date?",0.01,0.0006966657182807842
cond,Will Netflix Release a Sequel to 'Stranger Things' Season 6 by 2026?,0.35,"Given that Netflix releases a sequel to 'Stranger Things' Season 6 by 2026, will HBO also release a new season of 'Westworld' by 2027?",0.15,"Will Netflix Release a Sequel to 'Stranger Things' Season 6 by 2026 AND, Given This, Will HBO Release a New Season of 'Westworld' by 2027?",0.05,0.009501000032882942
cond,Will the European Union Ban Single-Use Plastics by 2025?,0.65,"Given that the European Union Bans Single-Use Plastics by 2025, Will the United States Implement a Similar Ban by 2026?",0.25,"Will the EU Ban Single-Use Plastics by 2025 and the US Implement a Similar Ban by 2026 Given the EU Ban? Body: Will both of the following occur: (a) The European Union implements a comprehensive ban on single-use plastics across all member states by December 31, 2025, as officially legislated and recorded in the EU's legal documents on that date. (b) Conditional on the European Union implementing a ban on single-use plastics across all member states by December 31, 2025, the United States adopts a similar nationwide ban by December 31, 2026, as officially legislated and recorded in federal laws on that date.",0.15,0.026533507771083174
cond,Will Apple Launch an Augmented Reality Glasses Product by 2025?,0.65,"Given that Apple Launches an Augmented Reality Glasses Product by 2025, Will Microsoft Launch a Competitive AR Device by 2026? Body: Given that Apple Inc. releases an augmented reality (AR) glasses product to the consumer market by December 31, 2025, as officially announced through Apple's product releases and verified by major technology news outlets on that date, this question asks if Microsoft will launch a competitive augmented reality device by December 31, 2026, as officially announced through Microsoft's product releases and verified by major technology news outlets on that date.",0.75,"Will Apple Launch AR Glasses by 2025 and Microsoft Launch a Competitive AR Device by 2026 Given Apple's Launch? Body: Will both of the following occur: (a) Apple Inc. releases an augmented reality (AR) glasses product to the consumer market by December 31, 2025, as officially announced through Apple's product releases and verified by major technology news outlets on that date, and (b) Conditional on Apple releasing an augmented reality glasses product by December 31, 2025, Microsoft launches a competitive augmented reality device by December 31, 2026, as officially announced through Microsoft's product releases and verified by major technology news outlets on that date?",0.65,0.24618739633204786
cond,Will Canada Host the 2026 Winter Olympics?,0.0,"Given that Canada hosts the 2026 Winter Olympics, will Norway host the 2030 Winter Olympics?",0.35,"Will Canada Host the 2026 Winter Olympics and, Given This, Will Norway Host the 2030 Winter Olympics?",0.0,0.0
cond,Will the Amazon Rainforest See a 20% Reduction in Deforestation by 2027?,0.65,"Given that the Amazon Rainforest Sees a 20% Reduction in Deforestation by 2027, Will Indonesia Achieve a Similar Reduction by 2028? Body: Given that the Amazon Rainforest experiences a 20% reduction in deforestation rates by December 31, 2027, as measured by satellite data and reported by the Brazilian Institute of Environment and Renewable Natural Resources (IBAMA) on that date, this question asks if Indonesia will achieve a similar 20% reduction in deforestation rates by December 31, 2028, as measured by satellite data and reported by Indonesia's Ministry of Environment and Forestry on that date. This resolves as NO only if the Amazon achieves the reduction and Indonesia does not; it resolves as YES in all other cases.",0.75,"Will the Amazon Rainforest and Indonesia Both Achieve a 20% Reduction in Deforestation by Their Respective Deadlines? Body: Will both of the following occur: (a) The Amazon Rainforest experiences a 20% reduction in deforestation rates by December 31, 2027, as measured by satellite data and reported by the Brazilian Institute of Environment and Renewable Natural Resources (IBAMA) on that date. (b) Given that the Amazon Rainforest achieves this reduction, Indonesia also achieves a similar 20% reduction in deforestation rates by December 31, 2028, as measured by satellite data and reported by Indonesia's Ministry of Environment and Forestry on that date?",0.35,0.20831241228096373
cond,Will NASA Discover Evidence of Life on Mars by 2029?,0.15,"Given that NASA Discovers Evidence of Life on Mars by 2029, will ESA Also Discover Evidence of Life on Venus by 2030? Body: Given that NASA announces the discovery of definitive evidence of microbial life on Mars by December 31, 2029, as published in official NASA releases and peer-reviewed scientific journals, this question asks if the European Space Agency (ESA) will announce the discovery of microbial life on Venus by December 31, 2030, as published in official ESA releases and peer-reviewed scientific journals. This resolves as NO only if NASA's discovery occurs and ESA's discovery does not occur; it resolves as YES in all other cases (if NASA's discovery doesn't occur, or if both NASA's and ESA's discoveries occur).",0.85,"Will NASA Discover Evidence of Life on Mars by 2029 and, Given This, Will ESA Discover Evidence of Life on Venus by 2030? Body: Will both of the following occur: (a) NASA announces the discovery of definitive evidence of microbial life on Mars by December 31, 2029, as published in official NASA releases and peer-reviewed scientific journals on that date, and (b) conditional on NASA's announcement, the European Space Agency (ESA) announces the discovery of microbial life on Venus by December 31, 2030, as published in official ESA releases and peer-reviewed scientific journals on that date? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If NASA does not announce the discovery of life on Mars by the specified date, the second condition is not applicable, and the answer is ""No.""",0.01,0.3610900481897341
cond,Will Samsung Launch a Foldable Smartphone with a Battery Life Exceeding 24 Hours by 2026?,0.75,"Given that Samsung Launches a Foldable Smartphone with a Battery Life Exceeding 24 Hours by 2026, Will Huawei Launch a Similar Device by 2027?",0.85,"Will Samsung Launch a Foldable Smartphone with Over 24-Hour Battery Life by 2026 and, Given This, Will Huawei Launch a Similar Device by 2027? Body: Will both of the following occur: (a) Samsung introduces a foldable smartphone model with a battery life exceeding 24 hours on a single charge by December 31, 2026, as officially announced through Samsung's product releases and verified by major technology news outlets on that date, and (b) conditional on Samsung launching such a device, Huawei introduces a comparable foldable smartphone with similar battery specifications by December 31, 2027, as officially announced through Huawei's product releases and verified by major technology news outlets on that date?",0.65,0.01893749202554225
cond,Will India Achieve 100% Renewable Energy Supply by 2040?,0.15,"Given that India Achieves 100% Renewable Energy Supply by 2040, Will China Achieve 100% Renewable Energy Supply by 2041?",0.65,"Will India Achieve 100% Renewable Energy Supply by 2040 and, Given This, Will China Achieve the Same by 2041? Body: Will both of the following occur: (a) India transitions to a 100% renewable energy supply across all sectors by December 31, 2040, as reported by the Ministry of New and Renewable Energy (MNRE) in official government publications on that date, and (b) conditional on India achieving this transition, China also transitions to a 100% renewable energy supply by December 31, 2041, as reported by China's National Energy Administration in official government publications on that date?",0.05,0.14488206543675175
cond,Will the Louvre Museum Acquire the Mona Lisa by 2025?,0.01,"Given that the Louvre Museum Acquires the Mona Lisa by 2025, Will the British Museum Acquire the Rosetta Stone by 2026? Body: Given that the Louvre Museum officially acquires ownership of the Mona Lisa painting by December 31, 2025, as documented in the Louvre's official acquisition records and announcements on that date, this question asks if the British Museum will acquire ownership of the Rosetta Stone by December 31, 2026, as documented in the British Museum's official acquisition records and announcements on that date. This resolves as NO only if the Louvre acquires the Mona Lisa by 2025 and the British Museum does not acquire the Rosetta Stone by 2026; it resolves as YES in all other cases.",0.99,"Will the Louvre Acquire the Mona Lisa by 2025 and the British Museum Acquire the Rosetta Stone by 2026 Given the Louvre's Acquisition? Body: Will both of the following occur given their respective conditions are met: (a) The Louvre Museum officially acquires ownership of the Mona Lisa painting by December 31, 2025, as documented in the Louvre's official acquisition records and announcements on that date. (b) Conditional on the Louvre Museum acquiring ownership of the Mona Lisa by December 31, 2025, the British Museum acquires ownership of the Rosetta Stone by December 31, 2026, as documented in the British Museum's official acquisition records and announcements on that date?",0.01,0.0006966657182807842
cond,Will Facebook Rebrand to 'Meta' by 2023?,1.0,"Given that Facebook Rebrands to 'Meta' by 2023, will Google Rebrand to 'Alphabet II' by 2024?",0.01,"Will Facebook Rebrand to 'Meta' by 2023 and, Given This, Will Google Rebrand to 'Alphabet II' by 2024? Body: Will both of the following occur: (a) Facebook officially rebrands its corporate identity to 'Meta' by the end of 2023, as announced through the company's official press releases and verified by major business news outlets on that date, and (b) conditional on Facebook officially rebranding to 'Meta' by December 31, 2023, Google undertakes a rebranding to 'Alphabet II' by December 31, 2024, as announced through the company's official press releases and verified by major business news outlets on that date?",0.01,0.0
cond,Will the International Space Station Be Decommissioned by 2035?,0.65,"Given that the International Space Station is Decommissioned by 2035, will SpaceX Initiate its Own Space Station Program by 2036?",0.65,"Will the ISS Be Decommissioned by 2035 and SpaceX Initiate Its Own Space Station Program by 2036 Given the ISS is Decommissioned? Body: Will both of the following occur: (a) The International Space Station (ISS) will be officially decommissioned and cease operations by December 31, 2035, as announced by NASA and its international partners in official communications on that date. (b) Conditional on the ISS being decommissioned by December 31, 2035, SpaceX will launch its own privately-operated space station program by December 31, 2036, as officially announced through SpaceX's corporate communications and verified by major aerospace news outlets on that date?",0.65,0.3507323215972475
