eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_cot,similarity_threshold,score_threshold,use_embeddings,filter_incorrect,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,n_datapoints,max_attempts,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-07T18-50-35+00-00_adaptive-truthfulqa-refactor_nG9hgkKsyqEftf48yG5mEE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/openai_gpt-4o/2025-04-07T19-04-01+00-00_re-evaluate-adaptive-truthfulqa_GjFCRFke7dcQQmAw6tN7Ts.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.07142857142857142,,choice,anthropic/claude-3-5-sonnet-latest,150,10,56,56,52,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_gpt-4o_20250407_190359.csv
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-07T18-50-35+00-00_adaptive-truthfulqa-refactor_nG9hgkKsyqEftf48yG5mEE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/openai_gpt-4o-mini/2025-04-07T19-04-04+00-00_re-evaluate-adaptive-truthfulqa_FTrCStGXJo3mUMf56wTeFj.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.19642857142857142,,choice,anthropic/claude-3-5-sonnet-latest,150,10,56,56,45,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_gpt-4o_20250407_190359.csv
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-07T18-50-35+00-00_adaptive-truthfulqa-refactor_nG9hgkKsyqEftf48yG5mEE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T19-04-07+00-00_re-evaluate-adaptive-truthfulqa_7pZhnpqwiHNTB77HpBUjri.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.25,,choice,anthropic/claude-3-5-sonnet-latest,150,10,56,56,42,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_gpt-4o_20250407_190359.csv
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-07T18-50-35+00-00_adaptive-truthfulqa-refactor_nG9hgkKsyqEftf48yG5mEE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/openai_o3-mini/2025-04-07T19-04-10+00-00_re-evaluate-adaptive-truthfulqa_WNZPmHLpAZ79nUGDKBqNrJ.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.2857142857142857,,choice,anthropic/claude-3-5-sonnet-latest,150,10,56,56,40,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_gpt-4o_20250407_190359.csv
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-07T18-50-35+00-00_adaptive-truthfulqa-refactor_nG9hgkKsyqEftf48yG5mEE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T19-04-26+00-00_re-evaluate-adaptive-truthfulqa_XP7YtQFs6U7u4ukf6sY2VA.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.4642857142857143,,choice,anthropic/claude-3-5-sonnet-latest,150,10,56,56,30,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_gpt-4o_20250407_190359.csv
openai/gpt-4o,openai/o3-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-07T19-04-33+00-00_adaptive-truthfulqa-refactor_nCM392Xmr84VJrDnwCJ5jR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/openai_gpt-4o/2025-04-07T20-06-03+00-00_re-evaluate-adaptive-truthfulqa_DpyHpAA79sEYdC8iytGbuo.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.2857142857142857,,choice,anthropic/claude-3-5-sonnet-latest,150,10,14,14,10,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_o3-mini_20250407_200600.csv
openai/gpt-4o,openai/o3-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-07T19-04-33+00-00_adaptive-truthfulqa-refactor_nCM392Xmr84VJrDnwCJ5jR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/openai_gpt-4o-mini/2025-04-07T20-06-05+00-00_re-evaluate-adaptive-truthfulqa_EMcqUd6B7cZEngvaDTCwbm.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.42857142857142855,,choice,anthropic/claude-3-5-sonnet-latest,150,10,14,14,8,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_o3-mini_20250407_200600.csv
openai/gpt-4o,openai/o3-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-07T19-04-33+00-00_adaptive-truthfulqa-refactor_nCM392Xmr84VJrDnwCJ5jR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T20-06-07+00-00_re-evaluate-adaptive-truthfulqa_8R2cbypZEzYXpSg4V4goYP.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,150,10,14,14,7,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_o3-mini_20250407_200600.csv
openai/gpt-4o,openai/o3-mini,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-07T19-04-33+00-00_adaptive-truthfulqa-refactor_nCM392Xmr84VJrDnwCJ5jR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/openai_o3-mini/2025-04-07T20-06-09+00-00_re-evaluate-adaptive-truthfulqa_iXoWDW4Ay9vNGssvTBabqD.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.6428571428571429,,choice,anthropic/claude-3-5-sonnet-latest,150,10,14,14,5,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_o3-mini_20250407_200600.csv
openai/gpt-4o,openai/o3-mini,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-07T18-45-26+00-00_truthfulqa-initial_Y3CUeTPZsVsAnuQjQ6B6Rf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-07T19-04-33+00-00_adaptive-truthfulqa-refactor_nCM392Xmr84VJrDnwCJ5jR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T20-06-21+00-00_re-evaluate-adaptive-truthfulqa_ZG44UafbcjsJJPfr2Gik57.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.5714285714285714,,choice,anthropic/claude-3-5-sonnet-latest,150,10,14,14,6,results_truthfulqa_nocot/novelty_openai_gpt-4o_openai_o3-mini_20250407_200600.csv
