check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
paraphrase,"Will the Bitcoin price exceed $100,000 by December 31, 2025?",0.45,"Is Bitcoin expected to reach a value higher than $100,000 by the end of 2025?",0.35,,,0.14494275891311215
paraphrase,Will the Tokyo 2024 Paralympics introduction ceremony occur without any delays?,0.85,Is it expected that there will be no delays in the Tokyo 2024 Paralympics opening ceremony?,0.85,,,0.0
paraphrase,Will the Grammy Awards 2025 introduce a new category for Best Virtual Performance?,0.35,Is a new 'Best Virtual Performance' category expected to be added to the Grammy Awards in 2025?,0.65,,,0.44426165831931935
paraphrase,Will the S&P 500 index see a yearly growth exceeding 10% in 2026?,0.35,Is it projected that the S&P 500 index will grow by more than 10% in 2026?,0.35,,,0.0
paraphrase,Will Apple launch a foldable iPhone model by September 2025?,0.45,Is Apple planning to introduce a foldable iPhone model by September 2025?,0.45,,,0.0
paraphrase,Will Elon Musk announce a new Tesla electric vehicle model in early 2027?,0.65,Is Elon Musk anticipated to unveil a new Tesla EV model in the early part of 2027?,0.65,,,0.0
paraphrase,"Will the UK implement a nationwide ban on single-use plastics by July 1, 2025?",0.65,Is the UK expected to enforce a nationwide prohibition on single-use plastics by mid-2025?,0.65,,,0.0
paraphrase,Will Netflix release a new original series set in the Star Wars universe by March 2026?,0.01,Is Netflix anticipated to launch a Star Wars-based original series by March 2026?,0.01,,,0.0
paraphrase,Will the FIFA World Cup 2026 witness the introduction of video assistant referees (VAR) technology?,0.95,Is VAR technology expected to be used in the FIFA World Cup 2026?,0.95,,,0.0
paraphrase,Will Amazon achieve carbon neutrality in its global operations by 2030?,0.25,Is Amazon expected to reach carbon neutrality for its global operations by 2030?,0.15,,,0.17789201674120503
paraphrase,Will the Microsoft Surface Duo 3 be released before the end of 2024?,0.65,Is the release of Microsoft Surface Duo 3 expected by late 2024?,0.65,,,0.0
paraphrase,Will Spain win the UEFA European Championship in 2028?,0.15,Is Spain expected to emerge as champions in the 2028 UEFA European Championship?,0.15,,,0.0
paraphrase,Will Tesla's Cybertruck be officially launched in North America by June 2026?,0.85,Is the official launch of Tesla's Cybertruck in North America expected by June 2026?,0.85,,,0.0
paraphrase,"Will Facebook rebrand to Meta Platforms Inc. by January 1, 2025?",1.0,Is Facebook expected to adopt the name Meta Platforms Inc. by the start of 2025?,0.95,,,0.22703830459325003
paraphrase,Will NASA land the first woman on Mars by 2032?,0.15,Is NASA expected to achieve the landing of the first female astronaut on Mars by 2032?,0.15,,,0.0
paraphrase,Will the European Union implement a digital privacy regulation similar to GDPR by 2027?,0.65,Is a GDPR-like digital privacy regulation expected to be adopted by the EU by 2027?,0.15,,,0.8380019039424886
paraphrase,Will the Louvre Museum feature an exhibit dedicated to digital art by 2025?,0.35,Is a digital art exhibit expected to be showcased at the Louvre Museum by 2025?,0.35,,,0.0
paraphrase,Will the International Space Station complete a decade of operation by November 2030?,0.85,Is the International Space Station expected to celebrate ten years of operation by November 2030?,0.85,,,0.0
paraphrase,Will India introduce a national electric vehicle incentive program by 2026?,0.75,Is a national EV incentive program expected to be introduced in India by 2026?,0.75,,,0.0
paraphrase,Will the New York Times publish an investigative report on cryptocurrency fraud by April 2025?,0.75,Is an investigative piece on crypto fraud expected to be published by the New York Times by April 2025?,0.75,,,0.0
paraphrase,"Will Canada legalize recreational marijuana nationwide by July 1, 2026?",1.0,Is nationwide recreational marijuana legalization expected in Canada by mid-2026?,1.0,,,0.0
paraphrase,Will the Hollywood Foreign Press Association introduce a humanitarian award by 2027?,0.65,Is a new humanitarian category expected to be added to the Hollywood Foreign Press Awards by 2027?,0.65,,,0.0
